,Company Name,Company Logo
1,Spotify,Spotify.png
2,Google,Google.png
3,Facebook,Facebook.png
4,Amazon,Amazon.png
5,Revolut,Revolut.png
6,Farfetch,Farfetch.png
7,Deliveroo,Deliveroo.png
8,Apple,Apple.png
9,Samsung,Samsung.png
10,Instagram,Instagram.png
11,Github,Github.png
12,Unity,Unity.png
13,Blockchain,Blockchain.png
14,Twitter,Twitter.png
15,Slack,Slack.png
16,Checkout.com,Checkout.png
17,Monzo,Monzo.png
18,Microsoft,Microsoft.png
19,IBM,IBM.png
20,AimBrain,Aimbrain.png
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
